i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
842,410,847193,399.5,1735201.76,4425.914,801.201,494921.551,1612.375,3421.5,399.5,4333.792,1360,778.812
842,410,847330,1612.375,1735201.76,4425.914,801.201,494921.551,1612.375,3421.5,399.5,4333.792,1360,778.812
842,410,854211,801.201,1735201.76,4425.914,801.201,494921.551,1612.375,3421.5,399.5,4333.792,1360,778.812
842,410,870323,4425.914,1735201.76,4425.914,801.201,494921.551,1612.375,3421.5,399.5,4333.792,1360,778.812
842,410,870324,3421.5,1735201.76,4425.914,801.201,494921.551,1612.375,3421.5,399.5,4333.792,1360,778.812
842,410,870899,4333.792,1735201.76,4425.914,801.201,494921.551,1612.375,3421.5,399.5,4333.792,1360,778.812
842,410,880240,778.812,1735201.76,4425.914,801.201,494921.551,1612.375,3421.5,399.5,4333.792,1360,778.812
842,276,271000,39203.275,0,83967,1430.812,39203.275,10541,17526,2439,19062,8415,1057
842,276,847192,8415,0,83967,1430.812,39203.275,10541,17526,2439,19062,8415,1057
842,276,847193,2439,0,83967,1430.812,39203.275,10541,17526,2439,19062,8415,1057
842,276,847330,10541,0,83967,1430.812,39203.275,10541,17526,2439,19062,8415,1057
842,276,854211,1430.812,0,83967,1430.812,39203.275,10541,17526,2439,19062,8415,1057
842,276,870323,83967,0,83967,1430.812,39203.275,10541,17526,2439,19062,8415,1057
842,276,870324,17526,0,83967,1430.812,39203.275,10541,17526,2439,19062,8415,1057
842,276,870899,19062,0,83967,1430.812,39203.275,10541,17526,2439,19062,8415,1057
842,276,880240,1057,0,83967,1430.812,39203.275,10541,17526,2439,19062,8415,1057
392,410,271000,1241731.627,0,81.191,1575.12,1241731.627,1611.222,16.128,888.625,6223.608,4676.085,0
392,410,847192,4676.085,0,81.191,1575.12,1241731.627,1611.222,16.128,888.625,6223.608,4676.085,0
392,410,847193,888.625,0,81.191,1575.12,1241731.627,1611.222,16.128,888.625,6223.608,4676.085,0
392,410,847330,1611.222,0,81.191,1575.12,1241731.627,1611.222,16.128,888.625,6223.608,4676.085,0
392,410,854211,1575.12,0,81.191,1575.12,1241731.627,1611.222,16.128,888.625,6223.608,4676.085,0
392,410,870323,81.191,0,81.191,1575.12,1241731.627,1611.222,16.128,888.625,6223.608,4676.085,0
392,410,870324,16.128,0,81.191,1575.12,1241731.627,1611.222,16.128,888.625,6223.608,4676.085,0
392,410,870899,6223.608,0,81.191,1575.12,1241731.627,1611.222,16.128,888.625,6223.608,4676.085,0
276,40,270900,0.199,0.199,30444.447,109.5,1525700.385,1487.366,2166.679,611.987,37679.015,4915.879,0
276,40,271000,1525700.385,0.199,30444.447,109.5,1525700.385,1487.366,2166.679,611.987,37679.015,4915.879,0
276,40,847192,4915.879,0.199,30444.447,109.5,1525700.385,1487.366,2166.679,611.987,37679.015,4915.879,0
276,40,847193,611.987,0.199,30444.447,109.5,1525700.385,1487.366,2166.679,611.987,37679.015,4915.879,0
276,40,847330,1487.366,0.199,30444.447,109.5,1525700.385,1487.366,2166.679,611.987,37679.015,4915.879,0
276,40,854211,109.5,0.199,30444.447,109.5,1525700.385,1487.366,2166.679,611.987,37679.015,4915.879,0
276,40,870323,30444.447,0.199,30444.447,109.5,1525700.385,1487.366,2166.679,611.987,37679.015,4915.879,0
276,40,870324,2166.679,0.199,30444.447,109.5,1525700.385,1487.366,2166.679,611.987,37679.015,4915.879,0
276,40,870899,37679.015,0.199,30444.447,109.5,1525700.385,1487.366,2166.679,611.987,37679.015,4915.879,0
410,842,270900,436.75,436.75,216164.992,3210.999,1013628.073,3241.875,38.46,4988.343,15641.518,87810.376,889.062
410,842,271000,1013628.073,436.75,216164.992,3210.999,1013628.073,3241.875,38.46,4988.343,15641.518,87810.376,889.062
410,842,847192,87810.376,436.75,216164.992,3210.999,1013628.073,3241.875,38.46,4988.343,15641.518,87810.376,889.062
410,842,847193,4988.343,436.75,216164.992,3210.999,1013628.073,3241.875,38.46,4988.343,15641.518,87810.376,889.062
410,842,847330,3241.875,436.75,216164.992,3210.999,1013628.073,3241.875,38.46,4988.343,15641.518,87810.376,889.062
410,842,854211,3210.999,436.75,216164.992,3210.999,1013628.073,3241.875,38.46,4988.343,15641.518,87810.376,889.062
410,842,870323,216164.992,436.75,216164.992,3210.999,1013628.073,3241.875,38.46,4988.343,15641.518,87810.376,889.062
410,842,870324,38.46,436.75,216164.992,3210.999,1013628.073,3241.875,38.46,4988.343,15641.518,87810.376,889.062
410,842,870899,15641.518,436.75,216164.992,3210.999,1013628.073,3241.875,38.46,4988.343,15641.518,87810.376,889.062
410,842,880240,889.062,436.75,216164.992,3210.999,1013628.073,3241.875,38.46,4988.343,15641.518,87810.376,889.062
392,156,270900,186633.138,186633.138,41727.32,2688.674,4133314.557,11143.113,1270.686,39.383,8569.315,1057.783,0
392,156,271000,4133314.557,186633.138,41727.32,2688.674,4133314.557,11143.113,1270.686,39.383,8569.315,1057.783,0
392,156,847192,1057.783,186633.138,41727.32,2688.674,4133314.557,11143.113,1270.686,39.383,8569.315,1057.783,0
392,156,847193,39.383,186633.138,41727.32,2688.674,4133314.557,11143.113,1270.686,39.383,8569.315,1057.783,0
392,156,847330,11143.113,186633.138,41727.32,2688.674,4133314.557,11143.113,1270.686,39.383,8569.315,1057.783,0
392,156,854211,2688.674,186633.138,41727.32,2688.674,4133314.557,11143.113,1270.686,39.383,8569.315,1057.783,0
392,156,870323,41727.32,186633.138,41727.32,2688.674,4133314.557,11143.113,1270.686,39.383,8569.315,1057.783,0
392,156,870324,1270.686,186633.138,41727.32,2688.674,4133314.557,11143.113,1270.686,39.383,8569.315,1057.783,0
392,156,870899,8569.315,186633.138,41727.32,2688.674,4133314.557,11143.113,1270.686,39.383,8569.315,1057.783,0
826,528,270900,14582558.54,14582558.54,51700.63,190.541,2413256.581,6275.694,1931.042,2303.728,5884.521,19880.03,0
826,528,271000,2413256.581,14582558.54,51700.63,190.541,2413256.581,6275.694,1931.042,2303.728,5884.521,19880.03,0
826,528,847192,19880.03,14582558.54,51700.63,190.541,2413256.581,6275.694,1931.042,2303.728,5884.521,19880.03,0
826,528,847193,2303.728,14582558.54,51700.63,190.541,2413256.581,6275.694,1931.042,2303.728,5884.521,19880.03,0
826,528,847330,6275.694,14582558.54,51700.63,190.541,2413256.581,6275.694,1931.042,2303.728,5884.521,19880.03,0
826,528,854211,190.541,14582558.54,51700.63,190.541,2413256.581,6275.694,1931.042,2303.728,5884.521,19880.03,0
826,528,870323,51700.63,14582558.54,51700.63,190.541,2413256.581,6275.694,1931.042,2303.728,5884.521,19880.03,0
826,528,870324,1931.042,14582558.54,51700.63,190.541,2413256.581,6275.694,1931.042,2303.728,5884.521,19880.03,0
826,528,870899,5884.521,14582558.54,51700.63,190.541,2413256.581,6275.694,1931.042,2303.728,5884.521,19880.03,0
702,842,271000,924742.703,0,1.451,2995.21,924742.703,0,0,39936.205,2212.375,50769.856,39.95
702,842,847192,50769.856,0,1.451,2995.21,924742.703,0,0,39936.205,2212.375,50769.856,39.95
702,842,847193,39936.205,0,1.451,2995.21,924742.703,0,0,39936.205,2212.375,50769.856,39.95
702,842,847330,0,0,1.451,2995.21,924742.703,0,0,39936.205,2212.375,50769.856,39.95
702,842,854211,2995.21,0,1.451,2995.21,924742.703,0,0,39936.205,2212.375,50769.856,39.95
702,842,870323,1.451,0,1.451,2995.21,924742.703,0,0,39936.205,2212.375,50769.856,39.95
702,842,870899,2212.375,0,1.451,2995.21,924742.703,0,0,39936.205,2212.375,50769.856,39.95
702,842,880240,39.95,0,1.451,2995.21,924742.703,0,0,39936.205,2212.375,50769.856,39.95
392,702,271000,198610.224,0,14291.472,0,198610.224,10619.414,287.851,4514.277,9262.976,5776.263,0
392,702,847192,5776.263,0,14291.472,0,198610.224,10619.414,287.851,4514.277,9262.976,5776.263,0
392,702,847193,4514.277,0,14291.472,0,198610.224,10619.414,287.851,4514.277,9262.976,5776.263,0
392,702,847330,10619.414,0,14291.472,0,198610.224,10619.414,287.851,4514.277,9262.976,5776.263,0
392,702,854211,0,0,14291.472,0,198610.224,10619.414,287.851,4514.277,9262.976,5776.263,0
392,702,870323,14291.472,0,14291.472,0,198610.224,10619.414,287.851,4514.277,9262.976,5776.263,0
392,702,870324,287.851,0,14291.472,0,198610.224,10619.414,287.851,4514.277,9262.976,5776.263,0
392,702,870899,9262.976,0,14291.472,0,198610.224,10619.414,287.851,4514.277,9262.976,5776.263,0
40,276,270900,46678.818,46678.818,9433.346,80.593,10691.407,402.244,11285.349,79.705,22698.766,527.568,242.5
40,276,271000,10691.407,46678.818,9433.346,80.593,10691.407,402.244,11285.349,79.705,22698.766,527.568,242.5
40,276,847192,527.568,46678.818,9433.346,80.593,10691.407,402.244,11285.349,79.705,22698.766,527.568,242.5
